question_text,company,difficulty,question_type,topics,source,answer_text,created_at
[Paste question here],,easy/medium/hard,coding/stats/ml/case/behavioral,,manual_templates/leetcode_manual_template.txt,,2025-11-17T11:27:21.133135
[Paste question here],,easy/medium/hard,coding/stats/ml/case/behavioral,,manual_templates/leetcode_manual_template.txt,,2025-11-17T11:27:21.133151
[Question title/description] [Full question text if available],"[Company Name or ""General""]",easy/medium/hard,sql/python,,manual_templates/stratascratch_manual_template.txt,,2025-11-17T11:27:21.133212
"Count the number of movies per genre Write a query to find the number of movies in each genre. Return the genre name and count, ordered by count descending.",Netflix,medium,sql,,manual_templates/stratascratch_manual_template.txt,,2025-11-17T11:27:21.133229
You are given a train data set having 1000 columns and 1 million rows based on a classification problem. Your manager has asked you to reduce the dimension of this data so that model computation time can be reduced. Your machine has memory constraints. What would you do?,,hard,case,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133308
You are given a data set. The data set has missing values which spread along 1 standard deviation from the median. What percentage of data would remain unaffected? Why?,,hard,case,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133323
You are given a data set on cancer detection. You've built a classification model and achieved an accuracy of 96%. Why shouldn't you be happy with your model performance? What can you do about it?,,hard,case,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133338
You are working on a time series data set. You built a decision tree model but later tried a time series regression model and got higher accuracy. Can this happen? Why?,,hard,case,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133352
"You are assigned a new project helping a food delivery company save money. The company's delivery team can't deliver food on time, so customers get unhappy and receive free food. Which machine learning algorithm can save them?",,hard,case,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133368
You came to know that your model is suffering from low bias and high variance. Which algorithm should you use to tackle it? Why?,,hard,case,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133378
"You are given a data set with many variables, some highly correlated. Your manager has asked you to run PCA. Would you remove correlated variables first? Why?",,hard,case,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133390
"After spending several hours, you built 5 GBM models thinking boosting would do magic. Unfortunately, none performed better than benchmark. You decided to combine those models but ensembled models didn't improve accuracy. Where did you miss?",,hard,case,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133406
You have built a multiple regression model. Your model R² isn't as good as you wanted. You remove the intercept term and model R² becomes 0.8 from 0.3. Is it possible? How?,,hard,case,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133420
"Your manager informed that your regression model is suffering from multicollinearity. How would you check if he's true? Without losing information, can you still build a better model?",,hard,case,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133434
"Is rotation necessary in PCA? If yes, why? What will happen if you don't rotate the components?",,medium,ml,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133449
"Why is Naive Bayes so 'naive'? Explain prior probability, likelihood and marginal likelihood in context of Naive Bayes algorithm.",,medium,ml,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133459
When is Ridge regression favorable over Lasso regression?,,medium,ml,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133465
"Both being tree based algorithms, how is random forest different from Gradient boosting algorithm (GBM)?",,medium,ml,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133474
You've built a random forest model with 10000 trees. Training error is 0.00 but validation error is 34.23. What is going on? Haven't you trained your model perfectly?,,medium,ml,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133486
You've got a data set where p (no. of variables) > n (no. of observations). Why is OLS a bad option? Which techniques would be best to use? Why?,,medium,ml,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133498
What cross validation technique would you use on time series data set? Is it k-fold or LOOCV?,,medium,ml,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133506
"You are given a data set consisting of variables having more than 30% missing values. Out of 50 variables, 8 have missing values higher than 30%. How will you deal with them?",,medium,ml,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133519
How is kNN different from k-means clustering?,,medium,stats,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133530
How is True Positive Rate and Recall related? Write the equation.,,medium,stats,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133536
What is the difference between covariance and correlation?,,medium,stats,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133542
"Is it possible to capture the correlation between continuous and categorical variable? If yes, how?",,medium,stats,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133551
Running a binary classification tree algorithm is easy. But how does tree splitting take place? How does the tree decide which variable to split at the root node and succeeding nodes?,,medium,stats,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133566
"We know that one hot encoding increases the dimensionality of a data set, but label encoding doesn't. How?",,medium,stats,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133575
What do you understand by Type I vs Type II error?,,medium,stats,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133582
What is convex hull? (Hint: Think SVM),,medium,stats,,manual_templates/manual_scenario_questions.txt,,2025-11-17T11:27:21.133587
