question_text,company,difficulty,question_type,topics,source,answer_text,created_at
What is padding,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061234
Sigmoid Vs Softmax,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061244
What is PoS Tagging,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061248
What is tokenization,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061251
What is topic modeling,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061253
What is back propagation,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061256
What is the idea behind GANs,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061258
What is the Computational Graph,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061260
What is sigmoid What does it do,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061263
What is Named-Entity Recognition,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061265
Explain the masked language model,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061267
How do you preprocess text in NLP,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061270
How do you extract features in NLP,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061272
How is wordvec different from Glove,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061274
What Are the Different Layers on CNN,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061277
What makes CNNs translation invariant,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061279
How is fastText different from wordvec,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061281
Explain Generative Adversarial Network,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061284
What is backward and forward propagation,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061286
What are Syntactic and Semantic Analysis,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061288
What is a local optimumWhat is a local optimum,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061291
Explain gates used in LSTM with their functions,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061294
What is ReLU How is it better than sigmoid or tanh,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061297
What is transfer learning have you used it before,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061299
What is multi-task learning When should it be used,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061302
Difference between convex and non-convex cost function,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061305
Why do we remove stop words When do we not remove them,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061308
Explain the difference between an epoch a batch and an iteration,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061311
What is the difference between NLP and NLU,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061313
For online learning which one would you prefer SGD or Adagrad and why,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061321
What Is a Multi-layer Perceptron MLPWhat Is a Multi-layer Perceptron MLP,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061325
Is it always bad to have local optimaIs it always bad to have local optima,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061328
"In node2vec, what does embedding represent topological similarity or nearness",,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061331
What do you understand by Boltzmann Machine and Restricted Boltzmann Machines,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061334
How to compute an inverse matrix faster by playing around with some computational tricks,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061337
For infrequent/rare words which among CBOW and SkipGram should be used for wordvec training,,medium,ml,deep_learning,Sandy1811/DS-Interview-FAANG,,2025-11-19T09:28:09.061341
