question_text,company,difficulty,question_type,topics,source,answer_text,created_at
What is Machine learning?,,medium,ml,machine_learning,165_ML_Interview_QA,"Machine learning is a branch of computer science which deals with system programming to automatically learn and improve with experience. For example, Robots are programmed so that they can perform the task based on data they gather from sensors. It automatically learns programs from data.",2025-11-18T17:20:54.000373
Mention the difference between Data Mining and Machine learning?,,hard,ml,machine_learning,165_ML_Interview_QA,"Machine learning relates to the study, design, and development of the algorithms that give computers the capability to learn without being explicitly programmed. While data mining can be defined as the process in which the unstructured data tries to extract knowledge or unknown interesting patterns. During this processing machine, learning algorithms are used.",2025-11-18T17:20:54.000398
What is ‘Overfitting’ in Machine learning?,,hard,ml,machine_learning,165_ML_Interview_QA,"In machine learning, when a statistical model describes random error or noise instead of underlying relationship ‘overfitting’ occurs. When a model is excessively complex, overfitting is normally observed, because of having too many parameters concerning the number of training data types. The model exhibits poor performance which has been overfitted.",2025-11-18T17:20:54.000416
Why does overfitting happen?,,medium,ml,machine_learning,165_ML_Interview_QA,The possibility of overfitting exists as the criteria used for training the model is not the same as the criteria used to judge the efficacy of a model.,2025-11-18T17:20:54.000424
How can you avoid overfitting ?,,hard,ml,machine_learning,165_ML_Interview_QA,"By using a lot of data overfitting can be avoided, overfitting happens relatively as you have a small dataset, and you try to learn from it. But if you have a small database and you are forced to come with a model based on that. In such a situation, you can use a technique known as cross-validation. We can use data augmentation techniques or regularization. We can also try to reduce the futures or we can try to simplify our model structure.",2025-11-18T17:20:54.000443
What is inductive machine learning?,,medium,ml,machine_learning,165_ML_Interview_QA,"The inductive machine learning involves the process of learning by examples, where a system, from a set of observed instances, tries to induce a general rule.",2025-11-18T17:20:54.000451
What are the five popular algorithms of Machine Learning?,,easy,ml,machine_learning,165_ML_Interview_QA,Decision Trees Neural Networks (backpropagation) Probabilistic networks Nearest Neighbor Support vector machines,2025-11-18T17:20:54.000458
What are the different Algorithm techniques in Machine Learning?,,medium,ml,machine_learning,165_ML_Interview_QA,The different types of techniques in Machine Learning are Supervised Learning Unsupervised Learning Semi-supervised Learning Reinforcement Learning Transduction Learning to Learn,2025-11-18T17:20:54.000467
What are the three stages to build the hypotheses or model in machine learning?,,easy,ml,machine_learning,165_ML_Interview_QA,Model building Model testing Applying the model,2025-11-18T17:20:54.000472
What is the standard approach to supervised learning?,,easy,ml,machine_learning,165_ML_Interview_QA,The standard approach to supervised learning is to split the set of examples into the training set and the test.,2025-11-18T17:20:54.000479
What is ‘Training set’ and ‘Test set’?,,hard,ml,machine_learning,165_ML_Interview_QA,"In various areas of information science like machine learning, a set of data is used to discover the potentially predictive relationship known as ‘Training Set’. The training set is an example given to the learner, while the Test set is used to test the accuracy of the hypotheses generated by the learner, and it is the set of examples held back from the learner. The training set is distinct from the Test set.",2025-11-18T17:20:54.000496
List down various approaches for machine learning?,,medium,ml,machine_learning,165_ML_Interview_QA,The different approaches in Machine Learning are Concept Vs Classification Learning Symbolic Vs Statistical Learning Inductive Vs Analytical Learning ** 13) What is not Machine Learning?** => Artificial Intelligence Rule-based inference,2025-11-18T17:20:54.000507
Explain what is the function of ‘Unsupervised Learning’?,,medium,ml,machine_learning,165_ML_Interview_QA,Find clusters of the data Find low-dimensional representations of the data Find interesting directions in data Interesting coordinates and correlations Find novel observations/ database cleaning,2025-11-18T17:20:54.000516
Explain what is the function of ‘Supervised Learning’?,,easy,ml,machine_learning,165_ML_Interview_QA,Classifications Speech recognition Regression Predict the time series Annotate strings,2025-11-18T17:20:54.000522
What is algorithm independent machine learning?,,medium,ml,machine_learning,165_ML_Interview_QA,Machine learning in where mathematical foundations are independent of any particular classifier or learning algorithm is referred to as algorithm independent machine learning?,2025-11-18T17:20:54.000531
What is the difference between artificial learning and machine learning?,,medium,ml,machine_learning,165_ML_Interview_QA,"Designing and developing algorithms according to the behaviors based on empirical data are known as Machine Learning. While artificial intelligence in addition to machine learning, also covers other aspects like knowledge representation, natural language processing, planning, robotics, etc.",2025-11-18T17:20:54.000543
What is a classifier in machine learning?,,medium,ml,machine_learning,165_ML_Interview_QA,"A classifier in Machine Learning is a system that inputs a vector of discrete or continuous feature values and outputs a single discrete value, the class.",2025-11-18T17:20:54.000551
What are the advantages of Naive Bayes?,,medium,ml,machine_learning,165_ML_Interview_QA,"In Naïve Bayes classifier will converge quicker than discriminative models like logistic regression, so you need less training data. The main advantage is that it can’t learn the interactions between features.",2025-11-18T17:20:54.000561
In what areas Pattern Recognition is used?,,easy,ml,machine_learning,165_ML_Interview_QA,Pattern Recognition can be used in Computer Vision Speech Recognition Data Mining Statistics Informal Retrieval Bio-Informatics,2025-11-18T17:20:54.000568
What is Genetic Programming?,,medium,ml,machine_learning,165_ML_Interview_QA,Genetic programming is one of the two techniques used in machine learning. The model is based on testing and selecting the best choice among a set of results.,2025-11-18T17:20:54.000575
What is Inductive Logic Programming in Machine Learning?,,easy,ml,machine_learning,165_ML_Interview_QA,Inductive Logic Programming (ILP) is a subfield of machine learning which uses logic programming representing background knowledge and examples.,2025-11-18T17:20:54.000582
What is Model Selection in Machine Learning?,,medium,ml,machine_learning,165_ML_Interview_QA,"The process of selecting models among different mathematical models, which are used to describe the same data set is known as Model Selection. Model selection is applied to the fields of statistics, machine learning, and data mining.",2025-11-18T17:20:54.000593
What are the two methods used for the calibration in Supervised Learning?,,medium,ml,machine_learning,165_ML_Interview_QA,"The two methods used for predicting good probabilities in Supervised Learning are Platt Calibration Isotonic Regression These methods are designed for binary classification, and it is not trivial.",2025-11-18T17:20:54.000602
Which method is frequently used to prevent overfitting?,,easy,ml,machine_learning,165_ML_Interview_QA,When there is sufficient data ‘Isotonic Regression’ is used to prevent an overfitting issue.,2025-11-18T17:20:54.000609
What is the difference between heuristic for rule learning and heuristics for decision trees?,,medium,ml,machine_learning,165_ML_Interview_QA,The difference is that the heuristics for decision trees evaluate the average quality of many disjointed sets while rule learners only evaluate the quality of the set of instances that are covered with the candidate rule.,2025-11-18T17:20:54.000620
What is Perceptron in Machine Learning?,,easy,ml,machine_learning,165_ML_Interview_QA,"In Machine Learning, Perceptron is an algorithm for supervised classification of the input into one of several possible non-binary outputs.",2025-11-18T17:20:54.000627
Explain the two components of the Bayesian logic program?,,medium,ml,machine_learning,165_ML_Interview_QA,"Bayesian logic program consists of two components. The first component is a logical one; it consists of a set of Bayesian Clauses, which captures the qualitative structure of the domain. The second component is a quantitative one, it encodes the quantitative information about the domain.",2025-11-18T17:20:54.000639
What are Bayesian Networks (BN) ?,,easy,ml,machine_learning,165_ML_Interview_QA,Bayesian Network is used to represent the graphical model for the probability relationship among a set of variables.,2025-11-18T17:20:54.000645
Why instance-based learning algorithm sometimes referred to as a Lazy learning algorithm?,,medium,ml,machine_learning,165_ML_Interview_QA,Instance-based learning algorithm is also referred to as the Lazy learning algorithm as they delay the induction or generalization process until classification is performed.,2025-11-18T17:20:54.000654
What are the two classification methods that SVM ( Support Vector Machine) can handle?,,easy,ml,machine_learning,165_ML_Interview_QA,Combining binary classifiers Modifying binary to incorporate multiclass learning,2025-11-18T17:20:54.000661
What is ensemble learning?,,medium,ml,machine_learning,165_ML_Interview_QA,"To solve a particular computational program, multiple models such as classifiers or experts are strategically generated and combined. This process is known as ensemble learning.",2025-11-18T17:20:54.000668
Why ensemble learning is used?,,easy,ml,machine_learning,165_ML_Interview_QA,"Ensemble learning is used to improve the classification, prediction, function approximation, etc of a model.",2025-11-18T17:20:54.000674
When to use ensemble learning?,,easy,ml,machine_learning,165_ML_Interview_QA,Ensemble learning is used when you build component classifiers that are more accurate and independent from each other.,2025-11-18T17:20:54.000680
What are the two paradigms of ensemble methods?,,easy,ml,machine_learning,165_ML_Interview_QA,The two paradigms of ensemble methods are Sequential ensemble methods Parallel ensemble methods,2025-11-18T17:20:54.000686
What is the general principle of an ensemble method and what is bagging and boosting in the ensemble method?,,hard,ml,machine_learning,165_ML_Interview_QA,The general principle of an ensemble method is to combine the predictions of several models built with a given learning algorithm to improve robustness over a single model. Bagging is a method in an ensemble for improving unstable estimation or classification schemes. While boosting methods are used sequentially to reduce the bias of the combined model. Boosting and Bagging both can reduce errors by reducing the variance term.,2025-11-18T17:20:54.000704
What is a bias-variance decomposition of classification error in the ensemble method?,,hard,ml,machine_learning,165_ML_Interview_QA,The expected error of a learning algorithm can be decomposed into bias and variance. A bias term measures how closely the average classifier produced by the learning algorithm matches the target function. The variance term measures how much the learning algorithm’s prediction fluctuates for different training sets.,2025-11-18T17:20:54.000719
What is an Incremental Learning algorithm in the ensemble?,,medium,ml,machine_learning,165_ML_Interview_QA,Incremental learning method is the ability of an algorithm to learn from new data that may be available after classifier has already been generated from the already available dataset.,2025-11-18T17:20:54.000728
"What are PCA, KPCA, and ICA used for?",,medium,ml,machine_learning,165_ML_Interview_QA,"PCA (Principal Components Analysis), KPCA ( Kernel-based Principal Component Analysis), and ICA ( Independent Component Analysis) are important feature extraction techniques used for dimensionality reduction.",2025-11-18T17:20:54.000737
What is dimension reduction in Machine Learning?,,medium,ml,machine_learning,165_ML_Interview_QA,"In Machine Learning and statistics, dimension reduction is the process of reducing the number of random variables under consideration and can be divided into feature selection and feature extraction.",2025-11-18T17:20:54.000746
What are support vector machines?,,easy,ml,machine_learning,165_ML_Interview_QA,Support vector machines are supervised learning algorithms used for classification and regression analysis.,2025-11-18T17:20:54.000752
What are the components of relational evaluation techniques?,,medium,ml,machine_learning,165_ML_Interview_QA,The important components of relational evaluation techniques are Data Acquisition Ground Truth Acquisition Cross-Validation Technique Query Type Scoring Metric Significance Test,2025-11-18T17:20:54.000760
What are the different methods for Sequential Supervised Learning?,,medium,ml,machine_learning,165_ML_Interview_QA,The different methods to solve Sequential Supervised Learning problems are Sliding-window methods Recurrent sliding windows Hidden Markow models Maximum entropy Markow models Conditional random fields Graph transformer networks,2025-11-18T17:20:54.000770
What are the areas in robotics and information processing where sequential prediction problem arises?,,medium,ml,machine_learning,165_ML_Interview_QA,The areas in robotics and information processing where sequential prediction problem arises are: Imitation Learning Structured prediction Model-based reinforcement learning,2025-11-18T17:20:54.000779
What is batch statistical learning?,,hard,ml,machine_learning,165_ML_Interview_QA,Statistical learning techniques allow learning a function or predictor from a set of observed data that can make predictions about unseen or future data. These techniques provide guarantees on the performance of the learned predictor on the future unseen data based on a statistical assumption on the data generating process.,2025-11-18T17:20:54.000792
What is PAC Learning?,,medium,ml,machine_learning,165_ML_Interview_QA,PAC (Probably Approximately Correct) learning is a learning framework that has been introduced to analyze learning algorithms and their statistical efficiency.,2025-11-18T17:20:54.000799
What are the different categories you can categorize the sequence learning process?,,easy,ml,machine_learning,165_ML_Interview_QA,Sequence prediction Sequence generation Sequence recognition Sequential decision,2025-11-18T17:20:54.000805
What is sequence learning?,,easy,ml,machine_learning,165_ML_Interview_QA,Sequence learning is a method of teaching and learning in a logical manner.,2025-11-18T17:20:54.000809
What are two techniques of Machine Learning ?,,hard,ml,machine_learning,165_ML_Interview_QA,The two techniques of Machine Learning are Genetic Programming Inductive Learning Here is one more explanation of Overfitting and Underfitting for you. https://media.geeksforgeeks.org/wp-content/cdn-uploads/20190523171229/overfitting_1.png Overfitting – High variance and low bias Techniques to reduce overfitting: Increase the training data. Reduce model complexity. Early stopping during the training phase (have an eye over the loss over the training period as soon as loss begins to increase stop,2025-11-18T17:20:54.000899
What is SQL?,,medium,sql,sql_database,SQL_Interview_QA,SQL is Structured Query Language designed specifically for communicating with databases (for inserting and modifying in a relational database management system). SQL is an ANSI (American National Standards Institute) standard.,2025-11-18T17:20:54.032680
What are the Advantages of SQL?,,medium,sql,sql_database,SQL_Interview_QA,"SQL is not a proprietary language used by specific database vendors. Almost every major DBMS supports SQL, so learning this one language will enable programmers to interact with any database like ORACLE, SQL, MYSQL etc. SQL is easy to learn. The statements are all made up of descriptive English words, and there aren't that many of them. SQL is actually an immensely powerful language and by using its language elements you can perform very complex and sophisticated database operations",2025-11-18T17:20:54.032715
What is a field in a database?,,easy,sql,sql_database,SQL_Interview_QA,"A field is an area within a record reserved for a specific piece of data. Examples: Employee Name, Employee ID etc.",2025-11-18T17:20:54.032738
What is a Record in a database?,,easy,sql,sql_database,SQL_Interview_QA,"A record is the collection of values / fields of a specific entity: i.e. Employee, Salary etc.",2025-11-18T17:20:54.032757
What is a Table in a database?,,easy,sql,sql_database,SQL_Interview_QA,"A table is a collection of records of a specific type. For example, employee table, salary table etc.",2025-11-18T17:20:54.032766
What is a database transaction?,,hard,sql,sql_database,SQL_Interview_QA,"A database transaction takes the database from one consistent state to another. At the end of the transaction the system must be in the prior state if transaction fails or the status of the system should reflect the successful completion if the transaction goes through. A Database Transaction is a set of database operations that must be treated as whole, meaning either all operations are executed or none of them. An example can be a bank transaction from one account to another account. Either bo",2025-11-18T17:20:54.032793
What are the properties of a transaction?,,hard,sql,sql_database,SQL_Interview_QA,"Properties of the transaction can be summarized as ACID Properties. Atomicity A transaction consists of many steps. When all the steps in a transaction are completed, it will get reflected in DB or if any step fails, all the transactions are rolled back. Consistency The database will move from one consistent state to another, if the transaction succeeds and remain in the original state if the transaction fails. Isolation Every transaction should operate as if it is the only transaction in the sy",2025-11-18T17:20:54.032819
What is SQL Order of Execution?,,medium,sql,sql_database,SQL_Interview_QA,About 90% of data analysts will get the SQL order of execution WRONG The correct order is: FROM – Define which tables you’ll source data from WHERE – Apply filters to your base data GROUP BY – Aggregate your data HAVING – Filter the aggregated data SELECT – Display the final data ORDER BY – Sort data for easy viewing LIMIT – Restrict the number of results Why is SELECT not first in the order of execution you ask? Because it is different from the order of writing! Our machines FIRST look for the ,2025-11-18T17:20:54.032848
What is the difference between having and where clause?,,medium,sql,sql_database,SQL_Interview_QA,"Ans: HAVING is used to specify a condition for a group or an aggregate function used in select statement. The WHEREclause selects before grouping. The HAVINGclause selects rows after grouping. Unlike HAVINGclause, the WHEREclause cannot contain aggregate functions.",2025-11-18T17:20:54.032861
What is Join?,,medium,sql,sql_database,SQL_Interview_QA,"Ans: An SQL Join is used to combine data from two or more tables, based on a common field between them. For example, consider the following two tables. Student Table EnrollNo StudentName Address 1000 geek1 geeksquiz1 1001 geek2 geeksquiz2 1002 geek3 geeksquiz3 StudentCourse Table CourseID EnrollNo 1 1000 2 1000 3 1000 1 1002 2 1003 The following is a join query that shows names of students enrolled in different courseIDs. SELECT StudentCourse.CourseID, Student.StudentName FROM StudentCourse INNE",2025-11-18T17:20:54.032903
What is a view in SQL? How to create one,,easy,sql,sql_database,SQL_Interview_QA,Ans: A view is a virtual table based on the result-set of an SQL statement. We can create using create view syntax. CREATE VIEW view_name AS SELECT column_name(s) FROM table_name WHERE condition,2025-11-18T17:20:54.032913
