question_text,company,difficulty,question_type,topics,source,answer_text,category,tags,constraints,examples,hints
Explain to me a technical concept related to the role that you’re interviewing for.,,medium,behavioral,communication,kojino/120-DS-Questions,,,,,,
Introduce me to something you’re passionate about.,,medium,behavioral,communication,kojino/120-DS-Questions,,,,,,
How would you explain an A/B test to an engineer with no statistics background? A linear regression?,,medium,behavioral,communication,kojino/120-DS-Questions,"- A/B testing, or more broadly, multivariate testing, is the testing of different elements of a user's experience to determine which variation helps the business achieve its goal more effectively (i.e. increasing conversions, etc..)  This can be copy on a web site, button colors, different user interfaces, different email subject lines, calls to action, offers, etc.",,,,,
How would you explain a confidence interval to an engineer with no statistics background? What does 95% confidence mean?,,medium,behavioral,communication,kojino/120-DS-Questions,- [link](https://www.quora.com/What-is-a-confidence-interval-in-laymans-terms),,,,,
How would you explain to a group of senior executives why data is important?,,medium,behavioral,communication,kojino/120-DS-Questions,,,,,,
(Given a Dataset) Analyze this dataset and tell me what you can learn from it.,,medium,case,data_analysis,kojino/120-DS-Questions,,,,,,
What is R2? What are some other metrics that could be better than R2 and why?,,medium,case,data_analysis,kojino/120-DS-Questions,"- goodness of fit measure. variance explained by the regression / total variance
  - the more predictors you add the higher R^2 becomes.
    - hence use adjusted R^2 which adjusts for the degrees of freedom 
    - or train error metrics",,,,,
What is the curse of dimensionality?,,hard,case,data_analysis,kojino/120-DS-Questions,"- High dimensionality makes clustering hard, because having lots of dimensions means that everything is ""far away"" from each other.
  - For example, to cover a fraction of the volume of the data we need to capture a very wide range for each variable as the number of variables increases
  - All samples are close to the edge of the sample. And this is a bad news because prediction is much more difficult near the edges of the training sample.
  - The sampling density decreases exponentially as p in",,,,,
Is more data always better?,,hard,case,data_analysis,kojino/120-DS-Questions,"- Statistically,
    - It depends on the quality of your data, for example, if your data is biased, just getting more data won’t help.
    - It depends on your model. If your model suffers from high bias, getting more data won’t improve your test results beyond a point. You’d need to add more features, etc.
  - Practically,
    - Also there’s a tradeoff between having more data and the additional storage, computational power, memory it requires. Hence, always think about the cost of having more ",,,,,
What are advantages of plotting your data before per- forming analysis?,,hard,case,data_analysis,kojino/120-DS-Questions,"- 1) Data sets have errors.  You won't find them all but you might find some. That 212 year old man. That 9 foot tall woman.  
2) Variables can have skewness, outliers etc.  Then the arithmetic mean might not be useful. Which means the standard deviation isn't useful.  
3) Variables can be multimodal!  If a variable is multimodal then anything based on its mean or median is going to be suspect.",,,,,
How can you make sure that you don’t analyze something that ends up meaningless?,,hard,case,data_analysis,kojino/120-DS-Questions,"- Proper exploratory data analysis.  
In every data analysis task, there's the exploratory phase where you're just graphing things, testing things on small sets of the data, summarizing simple statistics, and getting rough ideas of what hypotheses you might want to pursue further.  
Then there's the exploitatory phase, where you look deeply into a set of hypotheses.   
The exploratory phase will generate lots of possible hypotheses, and the exploitatory phase will let you really understand a few",,,,,
What is the role of trial and error in data analysis? What is the the role of making a hypothesis before diving in?,,hard,case,data_analysis,kojino/120-DS-Questions,"- data analysis is a repetition of setting up a new hypothesis and trying to refute the null hypothesis.
  - The scientific method is eminently inductive: we elaborate a hypothesis, test it and refute it or not. As a result, we come up with new hypotheses which are in turn tested and so on. This is an iterative process, as science always is.",,,,,
How can you determine which features are the most im- portant in your model?,,medium,case,data_analysis,kojino/120-DS-Questions,"- run the features though a Gradient Boosting Machine or Random Forest to generate plots of relative importance and information gain for each feature in the ensembles.
  - Look at the variables added in forward variable selection",,,,,
